timestep,average_reward
37400,-2.112855
37500,-2.2904687
37600,-2.5186172
37700,-2.1281788
37800,-2.0921133
37900,-1.7296362
38000,-2.1476479
38100,-2.3535807
38200,-2.3093204
38300,-2.052876
38400,-2.1505346
38500,-1.8227192
38600,-2.209338
38700,-2.2022555
38800,-2.8783724
38900,-1.7853912
39000,-1.9348159
39100,-2.3860106
39200,-2.2257442
39300,-1.871086
39400,-2.2567108
39500,-2.4070163
39600,-2.4078324
39700,-2.2636724
39800,-2.5465355
39900,-2.5231128
40000,-2.2301939
40100,-1.9015756
40200,-2.1822753
40300,-1.8575544
40400,-2.193958
40500,-2.247097
40600,-1.9058353
40700,-2.3334188
40800,-2.1857615
40900,-2.4581473
41000,-2.1630502
41100,-2.4668722
41200,-2.2604928
41300,-2.242954
41400,-2.450879
41500,-2.222804
41600,-1.7599244
41700,-1.8522034
41800,-2.1581883
41900,-2.083048
42000,-2.3511782
42100,-2.269458
42200,-2.3212223
42300,-1.8520017
42400,-2.0327291
42500,-2.3354475
